"p2"	"p31"	"p32"	"p33"	"arc_length"
0.00000e+00	0.00000e+00	1.70853e+00	0.00000e+00	1.01325e+02
0.00000e+00	0.00000e+00	1.70684e+00	0.00000e+00	1.01498e+02
0.00000e+00	0.00000e+00	1.70515e+00	0.00000e+00	1.01671e+02
0.00000e+00	0.00000e+00	1.70346e+00	0.00000e+00	1.01845e+02
0.00000e+00	0.00000e+00	1.70176e+00	0.00000e+00	1.02018e+02
0.00000e+00	0.00000e+00	1.70007e+00	0.00000e+00	1.02191e+02
0.00000e+00	0.00000e+00	1.69838e+00	0.00000e+00	1.02364e+02
0.00000e+00	0.00000e+00	1.69669e+00	0.00000e+00	1.02537e+02
0.00000e+00	0.00000e+00	1.69500e+00	0.00000e+00	1.02711e+02
0.00000e+00	0.00000e+00	1.69331e+00	0.00000e+00	1.02884e+02
0.00000e+00	0.00000e+00	1.69164e+00	0.00000e+00	1.03057e+02
0.00000e+00	0.00000e+00	1.68998e+00	0.00000e+00	1.03230e+02
0.00000e+00	0.00000e+00	1.68832e+00	0.00000e+00	1.03403e+02
0.00000e+00	0.00000e+00	1.68665e+00	0.00000e+00	1.03577e+02
0.00000e+00	0.00000e+00	1.68498e+00	0.00000e+00	1.03750e+02
0.00000e+00	0.00000e+00	1.68330e+00	0.00000e+00	1.03923e+02
0.00000e+00	0.00000e+00	1.68163e+00	0.00000e+00	1.04096e+02
0.00000e+00	0.00000e+00	1.67996e+00	0.00000e+00	1.04269e+02
0.00000e+00	0.00000e+00	1.67828e+00	0.00000e+00	1.04443e+02
0.00000e+00	0.00000e+00	1.67661e+00	0.00000e+00	1.04616e+02
0.00000e+00	0.00000e+00	1.67494e+00	0.00000e+00	1.04789e+02
0.00000e+00	0.00000e+00	1.67327e+00	0.00000e+00	1.04962e+02
0.00000e+00	0.00000e+00	1.67159e+00	0.00000e+00	1.05135e+02
0.00000e+00	0.00000e+00	1.66992e+00	0.00000e+00	1.05309e+02
0.00000e+00	0.00000e+00	1.66825e+00	0.00000e+00	1.05482e+02
0.00000e+00	0.00000e+00	1.66658e+00	0.00000e+00	1.05655e+02
0.00000e+00	0.00000e+00	1.66490e+00	0.00000e+00	1.05828e+02
0.00000e+00	0.00000e+00	1.66323e+00	0.00000e+00	1.06002e+02
0.00000e+00	0.00000e+00	1.66156e+00	0.00000e+00	1.06175e+02
0.00000e+00	0.00000e+00	1.65988e+00	0.00000e+00	1.06348e+02
0.00000e+00	0.00000e+00	1.65820e+00	0.00000e+00	1.06521e+02
0.00000e+00	0.00000e+00	1.65649e+00	0.00000e+00	1.06694e+02
0.00000e+00	0.00000e+00	1.65480e+00	0.00000e+00	1.06868e+02
0.00000e+00	0.00000e+00	1.65313e+00	0.00000e+00	1.07041e+02
0.00000e+00	0.00000e+00	1.65146e+00	0.00000e+00	1.07214e+02
0.00000e+00	0.00000e+00	1.64979e+00	0.00000e+00	1.07387e+02
0.00000e+00	0.00000e+00	1.64812e+00	0.00000e+00	1.07560e+02
0.00000e+00	0.00000e+00	1.64645e+00	0.00000e+00	1.07734e+02
0.00000e+00	0.00000e+00	1.64478e+00	0.00000e+00	1.07907e+02
0.00000e+00	0.00000e+00	1.64311e+00	0.00000e+00	1.08080e+02
0.00000e+00	0.00000e+00	1.64144e+00	0.00000e+00	1.08253e+02
0.00000e+00	0.00000e+00	1.63977e+00	0.00000e+00	1.08426e+02
0.00000e+00	0.00000e+00	1.63810e+00	0.00000e+00	1.08600e+02
0.00000e+00	0.00000e+00	1.63644e+00	0.00000e+00	1.08773e+02
0.00000e+00	0.00000e+00	1.63477e+00	0.00000e+00	1.08946e+02
0.00000e+00	0.00000e+00	1.63310e+00	0.00000e+00	1.09119e+02
0.00000e+00	0.00000e+00	1.63143e+00	0.00000e+00	1.09292e+02
0.00000e+00	0.00000e+00	1.62979e+00	0.00000e+00	1.09466e+02
0.00000e+00	0.00000e+00	1.62811e+00	0.00000e+00	1.09639e+02
0.00000e+00	0.00000e+00	1.62644e+00	0.00000e+00	1.09812e+02
0.00000e+00	0.00000e+00	1.62477e+00	0.00000e+00	1.09985e+02
0.00000e+00	0.00000e+00	1.62310e+00	0.00000e+00	1.10158e+02
0.00000e+00	0.00000e+00	1.62143e+00	0.00000e+00	1.10332e+02
0.00000e+00	0.00000e+00	1.61976e+00	0.00000e+00	1.10505e+02
0.00000e+00	0.00000e+00	1.61809e+00	0.00000e+00	1.10678e+02
0.00000e+00	0.00000e+00	1.61642e+00	0.00000e+00	1.10851e+02
0.00000e+00	0.00000e+00	1.61475e+00	0.00000e+00	1.11024e+02
0.00000e+00	0.00000e+00	1.61308e+00	0.00000e+00	1.11198e+02
0.00000e+00	0.00000e+00	1.61141e+00	0.00000e+00	1.11371e+02
0.00000e+00	0.00000e+00	1.60974e+00	0.00000e+00	1.11544e+02
0.00000e+00	0.00000e+00	1.60807e+00	0.00000e+00	1.11717e+02
0.00000e+00	0.00000e+00	1.60640e+00	0.00000e+00	1.11890e+02
0.00000e+00	0.00000e+00	1.60473e+00	0.00000e+00	1.12064e+02
0.00000e+00	0.00000e+00	1.60306e+00	0.00000e+00	1.12237e+02
0.00000e+00	0.00000e+00	1.60139e+00	0.00000e+00	1.12410e+02
0.00000e+00	0.00000e+00	1.59972e+00	0.00000e+00	1.12583e+02
0.00000e+00	0.00000e+00	1.59805e+00	0.00000e+00	1.12757e+02
0.00000e+00	0.00000e+00	1.59637e+00	0.00000e+00	1.12930e+02
0.00000e+00	0.00000e+00	1.59469e+00	0.00000e+00	1.13103e+02
0.00000e+00	0.00000e+00	1.59301e+00	0.00000e+00	1.13276e+02
0.00000e+00	0.00000e+00	1.59134e+00	0.00000e+00	1.13449e+02
0.00000e+00	0.00000e+00	1.58968e+00	0.00000e+00	1.13623e+02
0.00000e+00	0.00000e+00	1.58801e+00	0.00000e+00	1.13796e+02
0.00000e+00	0.00000e+00	1.58634e+00	0.00000e+00	1.13969e+02
0.00000e+00	0.00000e+00	1.58467e+00	0.00000e+00	1.14142e+02
0.00000e+00	0.00000e+00	1.58300e+00	0.00000e+00	1.14315e+02
0.00000e+00	0.00000e+00	1.58133e+00	0.00000e+00	1.14489e+02
0.00000e+00	0.00000e+00	1.57966e+00	0.00000e+00	1.14662e+02
0.00000e+00	0.00000e+00	1.57799e+00	0.00000e+00	1.14835e+02
0.00000e+00	0.00000e+00	1.57632e+00	0.00000e+00	1.15008e+02
0.00000e+00	0.00000e+00	1.57464e+00	0.00000e+00	1.15181e+02
0.00000e+00	0.00000e+00	1.57297e+00	0.00000e+00	1.15355e+02
0.00000e+00	0.00000e+00	1.57130e+00	0.00000e+00	1.15528e+02
0.00000e+00	0.00000e+00	1.56963e+00	0.00000e+00	1.15701e+02
0.00000e+00	0.00000e+00	1.56796e+00	0.00000e+00	1.15874e+02
0.00000e+00	0.00000e+00	1.56630e+00	0.00000e+00	1.16047e+02
0.00000e+00	0.00000e+00	1.56459e+00	0.00000e+00	1.16221e+02
0.00000e+00	0.00000e+00	1.56289e+00	0.00000e+00	1.16394e+02
0.00000e+00	0.00000e+00	1.56120e+00	0.00000e+00	1.16567e+02
0.00000e+00	0.00000e+00	1.55951e+00	0.00000e+00	1.16740e+02
0.00000e+00	0.00000e+00	1.55783e+00	0.00000e+00	1.16913e+02
